Titolo;Autore;Author_;Genere;Vote;DateRead;Commento
The Zero Marginal Cost Society: The Internet of Things, the Collaborative Commons, and the Eclipse of Capitalism;Jeremy Rifkin;Rifkin, Jeremy;essay;;;
Un green new deal globale;Jeremy Rifkin;Rifkin, Jeremy;essay;;;
Favole al telefono;Gianni Rodari;Rodari;novel;;;
Novelle fatte a macchina;Gianni Rodari;Rodari;novel;1;;
Opere;Gianni Rodari;Rodari;novel;;;
Level-up, the guide to great video game design;Scott Rogers;Rogers, Scott;gamedesign;;;
Factfulness. Dieci ragioni per cui non capiamo il mondo. E perché le cose vanno meglio di come pensiamo ;Hans Rosling;Rosling, Hans ;essay;;;
Emilio;Rousseau;Rousseau;classic;1;;
La mente e l'infinito;Rudy Rucker;Rucker, Rudy;steam;1;;
La quarta dimensione ;Rudy Rucker;Rucker, Rudy;steam;;;
Making Deep Games;Doris C. Rusch;Rusch, Doris C.;gamedesign;;;
